Comments,Reviewer Name,,,
"the placement is awesome and similar to other old iits, being a new iit, iith has gained lot of honor because of the work and research it produces.
All big companies such as microsoft, oracle, nvidia, salesforce, adobe, mathworks, oyo, xilinx etc visit our campus.
There was 100% placement for mtech ta in cse this year and almost every year its same.
The avg package is somewhat around 16lpa
Mtechs get a stipend of rs 12400 every month by mhourd",Swati Jaiswal,,,
"Companies come to campus in the seventh semester. Various companies like Microsoft, Goldman Sachs, Honeywell, Amazon, Flipkart, etc. recruit students for various roles. The placement percentage is more than 75. The highest salary is 60 LPA. Students from Computer science, electrical, and maths n computing will have more offers compared to other departments. I do not have any plans for higher studies, want to get a good job.|Companies visit the campus to recruit interns for various roles at the start of the 5th semester. Job roles are like web developer, software developer, Analyst, Sales intern, ML developer, AI developer, etc. We can also do projects with faculty. We need to contact the faculty and tell them our project ideas, if the professor is interested he can accept and guide you. Most visiting companies are from software backgrounds only.",Akhil,,,
Placement in IIT Hyderabad is so much better than other IIT. The average package in CSE is 20 Lacs. The average package in other groups is 14 Lacs. Total 80% members are placed in every batch. I think it's the best place for coding.,Srestha Bhowmick,,,
CSE Department Placement is Excellent. All M.Tech guys placed in first 2 days. M.Tech RA avg. package is more than 22LPA. In 2019 Microsoft In. Recruited 17 Students for 43LPA and Qualquamm Adobe Oracle all these companies take part in day 0 placements. Most of the B.Tech CSE Students gets ppo after Internship from Samsung IBM Labs and other MNC's.,Aditya Pande,,,
"Many companies, teaching institutes, colleges came for the placement every year to take best students. Internship are also available throughout the year to different professors.",Nilanjan Paul,,,
"There are many companies which are coming for college placments. Microsoft,Amazon,gm,jaguar,goldmansachss,oppo these are the top companies which came fir the recruitment most of the companies offered software developer role and some companies offer ai role and core companies offered respective core jobs.The alumni network is not that much strong it is very low compared bro other old IITs. The placement process will be the company has to register then it shortlist the candidates based on tests and they will select based on interviews. Entrepreneurship cell is very good it supports the start up ideas and trie to connect with investors and equipment.",Student (Anonymous),,,
"For the top branches, the placements are quite good. Many companies like Amazon, Samsung, Oyo, Microsoft etc. But for branches like msme, ep, es there is a least chance. Yes, our college do provide internship. One should apply through our college website. Stipend depends on your resume",O.S.L.Lahari,,,
"IOCL, L&T, HPCL. Group discussion, Interviews. 50% students get placed. No special steps were taken by the college.",G. Susanth Babu,,,
"From the Dept. Of Biotechnology, placements are not easy as core pharma or biotech companies do not come up for campus placements. But once you qualify and get your degree, it is easy to get a job when you go out and apply individually to companies like HiMedia, Pfizer etc. Internship is available upon directly approaching the professor.",Sumit,,,
"Pretty much good. We get internships in 3rd year of B Tech. I don't have idea of the stipend as I'm a fresher. But more than the stipend, you get a golden chance of pre placement if they are impressed with you.",M. Sai Vardhan,,,
"The placements are very good. The average package is around 15 lacks per annum. Our college also offers internships during third academic year. Placements at IIT Hyderabad for the academic year 2018-19 bagged 261 offers for 418 registered students. More than 252 companies registered for the placement drive out of which approximately 107 companies completed the placement process till date. The top paying companies included Mercari, Toyota Research Institute-Advanced Development, Works Application and SMS Data Tech. The highest salary offered for the current year is Rs. 53. 79 LPA and the average salary is Rs. 16. 74 LPA. The institute also bagged 22 international offers this year.",Yashwanth Guguloth,,,
Yes our college has a good record in placements and providing internships to the students during their studies.As i am a second i haven't had any opportunity for an internship as of now.as of now most of the students has been placed with a CTC of 8 lpa or higher.,HRITHVIN C,,,
"We need not explain about placement opportunities in iits. Yes, our college provide internships right from first year. I have not yet started but I am planning to do internship in second semester.and I am expecting a stipend of minimum 20000.",Anvesh,,,
"We have highest placement percentage it is nearly 80 percent and every year more than 200 companies will come to our college for intake of employees for their companies,and intern exams will be held by different companies,colleges extra based on GPA , because of central university for research,PhD students they provide good stipend.",Adithya vardhan,,,
We get intern ship offers from shirucafe internshala and few other thinks and campus sort out few internships in linkindin and send to students so they can easily apporch them without surfing job and we will get them from our alumni.,Chandrahaas Vakkalagadda,,,
Job opportunities for mechanical engineering students are not that good. Only about half of the students are getting placed every year from our branch. Also the college does not disclose information about packages secured by students. College does not have to provide internships for outsiders but students from this college can do research internships under lecturers with no or little stipend.,Vinay,,,
"Placements are good in our college last year one student bagged a 1.2cr package.
It's the highest and average package is around 12 lpa.Many students are getting placed in IT field even though their department is not related to IT.Very few students get placed into core jobs.These are the things I know about placements and I don't know about internships and stipends.",DASARI AKHIL,,,
Placement's are vee good for cse and electrical and it is very less for the other departments. Most of the companies coming for placement's are selecting the candidates who are good in coding and they are giving jobs related to marketing . Core departmental jobs are very less for mechanical and civil students. Our college provides internship opportunities. I didn't do any internship in college,Yeshwanth,,,
the college does not provide any type of internships. if we are eligible we can apply for scholarships outside of college,"K SATISH KUMAR""the gender ratio at iith is more balanced than any other iit.",,,
And we celebrate all the festival independent of religion and region,,,,
Since it is in south," there is always a little biasing and groups being made by students.""",Swati Jaiswal,,
"Gender ratio is poor (6:1). Extracurricular activities are also poor. But things are changing. Sports are good relative to other colleges, but poor relative to other IITs. Other factors such as race, etc are okay. There is no discrimination as such. There are few dorm parties. But now we are given Pod money to organise dorm parties.",G. Susanth Babu,,,
"We've many clubs for cultural activities. You can join any, if you're enthusiastic on it. The gender ratio is like 4:1 or something near. There is no discrimination on any sort of thing. These IITS need only your brilliance and so are we here.",M. Sai Vardhan,,,
"the gender ratio was almost equal. in some cases, the ratio was 52:48 in favor of boys. the college was provided with almost all labs available for us. there were many grounds provided for sports like cricket football tennis even indoor games like table tennis etc",K SATISH KUMAR,,,
"The campus life is really good in our college, as the campus is not very big students have to stay within boundaries this helps teachers to keep a watch on them and the students feel connected and they never feel alone. There is equal and fair gender ratio in our college. There are many extracurricular activities conducted in our college which are very good.",P.Mohana Kishore,,,
Campus life was very good and peaceful. Gender ratio for boys and girls was 7:1 nearly. Extracurricular activities and sports were given high importance to all students. There were strict rules on students security and living inside the campus. There were transport facilities even for students.,NAVEEN KISHORE R S,,,
"Here is no such gender ratio or diversity. Its a campus where one can gain enough knowledge. Unlike the other colleges it don't have any groups and disputes or regional gangs or feelings or disputes. Almost all the students in the college are well decent and their main motto is to have good knowledge on their studies. There is no racial discrimination even by the staff. The best thing is that there are no politics in the campus. If any student is found to be misbehaved or reason for any dispute he,she will be suspended for a few days which is obviously a bad remark in their conduct certificate.",Shalini,,,
Gender ratio is very poor. Very few girls will be there here similar to many IITs. Its a campus where one can gain enough knowledge. Unlike the other colleges it don't have any groups and disputes or regional gangs or feelings or disputes. Almost all the students in the college are well decent and their main motto is to have good knowledge on their studies.There is no racial discrimination even by the staff. The best thing is that there are no politics in the campus. If any student is found to be misbehaved or reason for any dispute he /she will be suspended for afew days which is obviously a bad remark in their conduct certificate.,Trivi Ch,,,
"My Batch strength is 196 out of them 22 of them are girls. So Gender Ratio 22/196. Campus life is not so good as compared to other colleges, like we haven't got any bike because bikes are not allowed. Campus is around 40-50 kms off the main Hyderabad City. Ola,uber doesn't come to campus. So,there is a problem with transportation in the Medak Area. Medak is a District where IIT is located. Students from different parts of India and of different castes have come here. So,we see people of the same area being together most of the time. We have many Labs and in sports ,College has got Cricket,Basketball, Badminton, Hockey, Volleyball, Tennis,Football.Lots of competitions are held in the Fest.","Ved Prakash""Hostel is the one thing one can boast about of iith.",,,
We have single rooms with all the necessities such as bed, table, cupboard, lan connection, etc.
"We have radiant cooling which keeps the rooms really cool during summers""",Swati Jaiswal,,,
"Hostels are one of the most attraction for students. All the hostel rooms are single beded along with cupboard table chair and lan connection in every room. Each floor is divided into four pods, in each pod 8 students are there.",Nilanjan Paul,,,
"Yes, I have opted for hostel. There is no sharing for the btech, mtech. All are single rooms. The infrastructure is student friendly. The hostel fee will be included in the fee structure. In holidays we need to evacuate the hostels. Or else extra fee will be deducted like 1000 for a month",O.S.L.Lahari,,,
It is mandatory for UG to opt for hostel during the term. Only PhD students have an option for living by themselves. We have a single rooms as of now. But UGs usually have combined rooms. 2 Students per one room.,G. Susanth Babu,,,
5 stars are not enough to describe the hostel facilities as these are new IIT hostels and have good infrastructure. Each student is alloted one single room and it has pod system where each floor has four pods. Each pod has one common washouroom and 8 single rooms.,Sumit,,,
"Hostels are the best. We've single rooms with two bathroom per 8 people. As I said earlier, they cost 70000 per annum (including mess). Drinking water facility is provided along with hot watet in bathrooms. We've a radiant cooling system even.",M. Sai Vardhan,,,
The hostel infrastructure is one of the best in teh business with single rooms alloted to each student with lan connections in each room.An efficient system called radiant cooling system is provided for the cooling in the summer season.,HRITHVIN C,,,
"Yes, I have opted for college hostel. It is a single room hostel. So you will have the maximum privacy to read and do whatever you want to do. Infrastructure is the awesome thing of IIT Hyderabad. Facilities are every floor has a washingachine which we can use any time.and also in summer radiant cooling will be introduced.",Anvesh,,,
Actually our college had best hostel infrastructure in among the other IITs (It is German architecture)our hostel blocks have radiant cooling system and for each student they will offer single room.,Adithya vardhan,,,
"No doubt, Iit Hyderabad has the one of the best hotels in Indian colleges. One room is alloted for each student with a cup board, study table and a cot in it. Also there is one bathroom in each pod (8 rooms make a pod). One can use either stairs or lift in hostel blocks.",Vinay,,,
"Yes,I am staying I hostel.The hostel building are very very good.They will allot one room per student which is very rare in engineering colleges.we have 24 hours LAN facility.But we can't access gaming websites with it.We have a gym also.",DASARI AKHIL,,,
Single rooms. Everything comes under semester fees. Best and good facilities in hostels.,Vamsi,,,
Hostel facilities were world class and every student would love to get such world class facilities. Buildings are seven storeyed hostels. All kinds of sports grounds and we'll furnished. A multipurpose gym was well built. Music and recreation rooms were well built. Huge stages and open stands are ultimate open places.,Manoj,,,
Hostel facilities were world class and every student would love to get such world class facilities. Buildings are seven storeyed hostels. All kinds of sports grounds and we'll furnished. A multipurpose gym was well built. Music and recreation rooms were well built. Huge stages and open stands are ultimate open places.,NAVEEN KISHORE R S,,,
The hostel rooms are very neat and the best part is the food. You love the food in hostel.Its very hygienic and they provide a very good healthy and hygienic food. There are 2 sharing rooms in hostel and as the hostel seats will be provided to all the admitted candidates. And it is mandatory to stay in their hostel as the campus is located very far from the city. Not only here most of the IITs and NITs would prefer the students to stay in their hostels. Regarding the safety of the hostel its highly secured and the lab and library are opened 24*7. So students can feel very secured as there will be continuously monitored by the security inside the campus.Food and safety wise our hostels are the best part. I can rate 10 out of 10 for both of these.,Shalini,,,
The hostel rooms are very good and thefood is not so good.You love the  hostel.Its very hygienic and they provide a very good healthy and hygienic food.There are 2 sharing rooms in hostel and as the hostel seats will be provided to all the admittedcandida,Trivi Ch,,,
We(4th Year B.Tech Boys) got shifted to New Permanent Campus this summer. Here everyone got single room. New Hostel rooms are awesome. Mess Building looks like a Mall. Hostels are Beautifully designed.,Ved PrakashThe faculty is very good and they are very student friendly . Most of the proffessors tries to teach practically and experimy rather than theoretical. They encourage us to do research . They will clarify the students doubt  very nicely,Yeshwanth,,
the course of the curriculum is divided into 8 semesters that are two semesters per year. the faculty here is very encouraging in the field of research. so students are very much loving towards the college. it provides us the practical knowledge not only of book subject.|the faculty here are very friendly in nature. we were taught to ask any simple or small doubt. we were having no fear in asking even small doubt to the faculty. the faculty here are a mix of both experienced and young faculty which one of the best combination of teaching faculty.,K SATISH KUMAR,,,
It's best with good faculty with much scope in the future. Full research initiatives done under by specialised faculties and director always will help in that.|Faculty is best in the business as far as I concerned. They were fully experienced and good academic career in their profile,Vamsi,,,
"Professors are dedicated and hard working. They all are PhDs and are working on their research areas extensively. We can approach them anytime in their office. Being a new IIT with fewer students, the faculty-student interaction is even better.",santhosh,,,
"Professors are dedicated and hard working. They all are PhDs and are working on their research areas extensively. We can approach them anytime in their office. Being a new IIT with fewer students, the faculty-student interaction is even better.
IIT Hyderabad follows what is called fractal academics under which you explore the breadth of all the subjects and then can choose to go deep in what you like. This allows us to choose our own course curriculum after 2nd year (some courses are mandatory). There is no concept of mid sem or end sem, we follow a continuous evaluation which I think is good as it doesn't burden us with the whole syllabus at once.
Students have a different curriculum according to their branches right from the first year.|One of the most promising institution with state of the art facilities. Well qualified and friendly faculty who are open to new ideas unlike older IITs with their conservative mindset. Indo-Japan collaboration makes it one of a kind attraction.",Manoj,,,
I wrote GATE entrance examination. I scored 800 rank in GATE entrance exam. why i choose this college is its a IIT. The environment and faculty  is very good.,P.Mohana Kishore,,,
Faculty have been excellent in moulding the students in various streams of specialisations. They have been debuted from old IITS so that being a new IIT we were not missing that experience and expertise form the professors and faculty. They have been realy good job  teaching with their experience.,NAVEEN KISHORE R S,,,
Faculty is very good. All faculties  have good knowledge of their respective field. They are very helpful and you can be sure that they will help you in any technical problem or else will guide you to the revelant person.,Milind Talele,,,
"I completed my M.tech fluid and energy system so I am giving feedback for same course only. Here we mainly study fluid mechanics courses such as CFD and heat transfer courses. Faculty is very good here. They always try to build basis by giving term projects and exams.|Faculty is young, determined and more ambitious towards research. Always try to colobrate on international level to benefit research in institute.|Their is Mid term and End term exam. But exam structure is varying facullty to faculty. Some faculty emphasise on tetm project more than exam. Some took open exam. So, one cannot standardize the exams here.",Praveen Sharma,,,
My opinion is positive about my college. It is giving good study. good facility and good hostel environment. Sports and gim facilities. Good faculty. and great library. 24 hours internet.|GATE exam 94.5%. It is a famous college. It has world class facilities. It gives good placements. Not an easy to get seat in this college. It has good faculty. Most of the students got placed. It is the top one college in India.|They are very good. We have world class faculty. They have done PhD in various IITs. They are done PDF also. They have done good research work. Their research profiles are very good.|It is good college no doubt at all. Most of the faculty is friendly. students work hard. All students are study well. good environment. They will conduct good programs.,Anjanna Matta,,,
"I took GATE-2010. I have scored GATE rank of 823 with score around 650. I also got signal processing seat in IIT Guwahti . But later IIT Hyderabad people offered Microelectronics and VLSI. As, VLSI stream is most competitive and  AP is my native state, I have opted for IIT Hyderabad. I enquired about lab facility, library and faculty. Got a positive response. So I joined here.|The faculty were very friendly and talented. They continuously motivates you. They strive very hard like a student for the growth of students. During placements, they work more than the HR officer to get the students placed. Coming to technical aspects, t",Trivi Ch,,,
Nice Course Curriculum and faculty.,Md Abdur Rahman,,,
"In this college, There is a good course structure with a well focus on research. Lot of money is spent on research here. Labs are well equipped with a lot of highly expensive apparatus and devices. Faculties are also very good,90% of the faculty has done M.S. or Any Masters course abroad. Faculties are friendly with the exception of some.",Ved Prakash,,,
"We need not explain about placement opportunities in iits. Yes, our college provide internships right from first year. I have not yet started but I am planning to do internship in second semester.and I am expecting a stipend of minimum 20000.",,,,
"We have highest placement percentage it is nearly 80 percent and every year more than 200 companies will come to our college for intake of employees for their companies,and intern exams will be held by different companies,colleges extra based on GPA , because of central university for research,PhD students they provide good stipend.",,,,
We get intern ship offers from shirucafe internshala and few other thinks and campus sort out few internships in linkindin and send to students so they can easily apporch them without surfing job and we will get them from our alumni.,,,,
Job opportunities for mechanical engineering students are not that good. Only about half of the students are getting placed every year from our branch. Also the college does not disclose information about packages secured by students. College does not have to provide internships for outsiders but students from this college can do research internships under lecturers with no or little stipend.,,,,
