Comments,Reviewer Name,,,
"The Faculty here are very co-operative in academics. Most oh them have at least a Doctorate Degree and empel knowledge in their subject. There is a 8:1 student to faculty ratio, which is considered quite good. Each student is allotted a Faculty Advisor whom he can contact for any matter.",Arpit Sahu,,,
Faculties are very good and level of their teaching is world class. They try to clear all the concepts related to specific field. There are faculties who are rely on very advanced technology and use for teaching purposes. There are also various labs working in the field.,Amit Kumar Singh,,,
The college has a very good faculty and teaching assistants with a very low student to teacher ratio of 20:1. The teacher here in IIT INDORE are subject experts of their field with a very vast teaching experience.,Ritik Bansal,,,
Academic section is quite exquisite. Institute caters a sublime coding culture. It’s NIRF ranking is second-best among the newer IITs. An Every IIT has its own charm and I pretty liked IIT Indore’s. Join this forgetting what you have dreamt. The faculty is amazing.,Rishabh kumar,,,
"Faculties in IIT Indore are very intellectual and supportive in nature except some of them.Because it's reality that you won't get uniformity everywhere.
Though they always help you if you are in trouble with your problems.They generally give you assignments and check your performance everytime. They have knowledge of every student in his/her class.
Afterall they all are very good in nature.",AMITESH,,,
The faculty is well acquainted with all the basics and deliver the best. Though there is a shortage of facility in all courses. Regardless of that many faculty from old IITs visit the campus. The TAs for the lab courses are not that competent.,Apoorva Joshi,,,
The faculties are all highly experienced and qualified . Almost all of them have got their PHDs from reputed universities abroad and have a unmatched teaching experience. Many of them have worked in the industry as well previously.,Nityash Agrawal,,,
Our college faculties are superb. Some are not much good in teaching in whole class but there concept application and then explanation when you personally ask them is superb. Also they have a lot of knowledge in research and will promote you for same.,Govind B Agrawal,,,
Faculties are good and have many years of experience. The professors have graduated themselves from very prestigious colleges. They are highly respected in the industry and have many contacts. They have a lot of knowledge and teach well.,Vishvesh,,,
The faculty here is outstanding and is very great. They makes us feel that this is the best we can get and we are still behind which we have to go through. They are very nice and interactive with every student of the college.,Kaustubh,,,
Faculty is very interactive .There is a lot of  emphasis in reading research papers. Almost all faculties are PhD holders and had research papers of there own. And also several books are written by our professors that we are provided with.,Shubham Rawat,,,
"Well we cannot openly comment on any faculty as far as I know. But still going vaguely over this matter, I can state that, the Good and Bad are everywhere. One can get to know people who are excellent in academics or research or both, while some are in none. It is up to an individual as to how he/she can use these resource (here Faculties) and to what extent. One thing I can say is that, especially in an IIT, every individual Faculty or Student wants to stand out, be that special one. It is only in the hands of each one as to how far you make the effort to work everything out.",Nihar Ranjan Panda,,,
"Most of the faculty at Indian Institute of Technology, Indore are recruited after a very tough screening procedure and the recruited faculty are one of the best in their own fields. Most of the faculty are very experienced and have ample reputed publications when it comes to research. However most of them are strict to undergrad students.",Chandan Gautam,,,
The faculty is really enthusiastic about imparting education. They are ready to help students and give out proper study material. They always devise good ways to impart education. They let students learn the most by making them read books related to the subject they are teaching.,Harshit Sharma,,,
Faculty were well qualified. There's experience can be well utilized. There reaching style may bore you but working under a professor for any project gives a very good experience and knowledge which can be later on used in your academic life.,Avinash Pakala,,,
The internationally recognized faculties was the good part as many of them had experiences in foreign teaching methodologies and with their unending knowledge. Faculties were co-operative to students other than the academic curriculamalways helpful and ea,"Dilkhush""Mess food is not that great. Yes", college do provide hostel facility. The rooms are shared with 2 per room. There are no," PG facility linked with college. Nearby societies have PGs.""",Shubham Rawat
4.5/5. We had one of the best hostel facility. We liked in bungalows as our permanent campus was still not ready.,Ankit Yadav,,,
"College provides hostel rooms to all students. It is mandatory to take hostel. The fees for the hostel is included in college fees and we don't have to pay extra for it. Hostels are very nice and we get above average facilities like room cleaning service, hot water for bath, RO water at rooms for drinking. We don't have to do anything extra to avail hostel facility, they are alloted at the time of admission.",Student (Anonymous),,,
"Yes, I opted for college hostel and and our college hostel is based on sharing basis but, the environment of hostel is very nice. There are several rules and regulations which a student should follow.",Amit Kumar Singh,,,
Yes I have opted for the hostel accommodation. The hostels are the best among all the colleges of India and feels like staying in an hotel. The hostel fees are 32000 annualy which does not include the mess charges.,Ritik Bansal,,,
"The construction is going at a very good pace. All the labs are shifted to the main campus at Simril. The IIT-INDORE SIMROL campus is almost ready. All the academic, sports, research & others are shifted to the main campus itself. The Hostels are also present on the campus. Only the fourth year and MTech (not sure) students stay outside the campus.",Rishabh kumar,,,
We are alloted to take institue's hostel. It's mandatory. And hostel rents are deducted from our fee structure. An amount of 8k is initially taken as a security money which is provided at the last of this whole course.,AMITESH,,,
"Hostel are newly built and well maintained. Every one is alloted a single room with necessary facilities like fridge, sofa and telephone. But the monsoon season does bring a worse even for the newly built buildings.",Apoorva Joshi,,,
Yes and infrastructure is superb. They provide you with all the quality things and then there is proper space for Everything and also free wifi in almost all spaces. Also no issue for water and electricity and best part is they are using dolar energy so yoi don't feel sad for using lot of energy.,Govind B Agrawal,,,
Hostel infrastructure is one of the best in India and I am very satisfies with the hostels. All the facilities are top class and we can not get any better facilities. We are very lucky to get these facilities.,Vishvesh,,,
"We hate our Mess facilities and food here and we are continuously trying to make things bearable in this section. The food is terrible but the hostel is pretty good. I am not a hosteler but still I haven't heard anything bad about it. But the mess, yuck! We repeatedly revolt for changing the mess facility, but still, no output. May be it requires more effort.",Nihar Ranjan Panda,,,
Hostel mess is nice. We have our hostel secretary who can decide the menu and so on. Accommodation was very nice. Maintains the standard of IIT.,Avinash Pakala,,,
"Hostel facility are unique among the IITies. The environment is very well with playgrounds for each game and good sports facilities Mess food always been in ups and downs. on an average it was hygiene, good diversity and food choices were available to bot","Dilkhush""The college is very good in extracurricular"," they Organize various seminars and workshops in campus itself. And several national level competition were also brought in to students. The students get ample opportunities to explore their talents in our college. The facilities by the management is very good.""",Shubham Rawat,
4.5/5. We had one of the best hostel facility. We liked in bungalows as our permanent campus was still not ready.,Ankit Yadav,,,
