Comments,Reviewer Name,,,,,,,
The placements in the college are quite good. A student can secure internships even in his second year if he has good skills in coding. The stipend of the internships are also attractive. Students are eligible for campus placements from the third year of the degree. The no of companies is also good. Average salary offered is about 8 lakh per annum and the highest is around 22 lakh.,Hasini,,,,,,,
"IIT Palakkad was established in 2015, therefore only in the last year did the placements begin. Yet, the campus placement has been a huge success. Many high-end companies like Mathworks, HSBC, Arista Networks, Fourkites visited the campus to recruit students. Highest salary offered was 16.75 Lakhs per annum. It is highly competitive. Almost all the students get internships from the college with a stipend between Rs.14,000- 20,000. The job as well as the internship placements are conducted through Career Development Centre (CDC) in the college. Since I am only approaching my third year, I haven't yet taken any internships.",Anand,,,,,,,
"I was among the first graduates of this college and the placements were really good. Most of the students were placed by big companies with great pay. HSBC, Arista Networks, Fourkites, Tata, Titan are few of the industries that visited the college. Internships are also provided by the college and the students can get a stipend upto Rs. 20,000. We can start to take internships by the end of the second year. Internships are really helpful and teach you a lot about the industry that colleges cannot.",Prabha,,,,,,,
"As far as I have heard from the placement cell and authorities and even my seniors, placements are well and good. Top companies come for recruitment like Google, Microsoft, etc. The one who sat in the placement were surely placed. Internships are also offered to 100% students from the College with stipend varying from 10,000-14,000 per month. Many students grabbed a package of approx 10-15 lacs per annum. The lowest package offered was 5-6 lac per annum.",Swarn,,,,,,,
There are around 64 placement offers made to students. Most of the students are placed depending on other factors. The annual payment is usually in Lakhs of rupees. There are industry internship programs and I have been part of it. It really helped me to gain a lot of information about the work.,Asitha,,,,,,,
Placement drive can be tough and competitive. I haven't put in a placement drive yet. Internships have also been set up for students. Students with coding experience gain some preference when going through placement.,Deepanweta,,,,,,,
"The Institute offers internships to meet the research needs of the departments. In addition, it sends students to other organizations for internship programs. The experience of engineers in this field is much better than the lectures in the internship.",Vimal,,,,,,,
"There are internships in and outside India. The college focuses on placements and job opportunitiesMore than 70% of students are placed The average salary is around Rs. 8,00,000  per year The highest salary is around 16 LPA.",Ziad,,,,,,,
"A good number of large reputed companies like Mathworks, HSBC, Paytm, Arista Networks came to our campus recruitment. The highest package was ?16 lakhs, and average was ?8 lacs. Companies like FCRI, KMRL, BEML, Rupeek Fintech offered internships with the highest salary of ?35,000 p.m.",Shreeparna,,,,,,,
"The college has the Career Development Centre (CDC), which guides the students to develop the students' personality and skills through placement training. We can apply for the internship/job online. The shortlisted students then can appear for the  pre-placement tests or interview which will be conducted in the campus. I got my first internship through this process. The overall experience was a bit terrifying but",Namgay,,,,,,,
