Comments,Reviewer Name,,,,,,,,,,
"Placement of this college is among the top listed placement you can hear around of any college. Every top-notch companies visit here for campus placement and hire students at very good placement highest package offered last year was 1.5 crore.|Several opportunities are available for internship from these colleges as it has so many alumni working in different fields and the Level of the curriculum here shape student to get an internship without so much of hustle. In fact, several professors here have so many projects with them so it becomes very handy for students to get an internship and learn from them.",Sushant Shekhar,,,,,,,,,,
"Placement season begins in our final year. The nature of companies coming to IITR is quite diverse. There are software giants like Microsoft, Oracle, Google, Facebook. Banks like Goldman Sachs and Morgan Stanley. Oil and mining companies of Schlumberger, Shell and Rio Tinto, and numerous other firms. This year the total number of job offers were 803 and companies participated 139. Highest international package: 1.5 crores. Highest domestic offer: 80 lakhs. The placement season begins in the months of October, November, and December. Your CG matters and most importantly coding matters in one way or another.|Campus aids you in the third-year first semester, where companies come to hire interns, on-campus interns. It involves rounds of testing, applications, and interviews. Off-campus internships involve students applying on their own, involve mailing. It can be applied any year, any semester. GSoC is quite popular here. Research interns involve you working with a professor on a project.",Student (Anonymous),,,,,,,,,,
"Almost all students get placed in the campus placement drive. The highest international salary package offered is 1.5 crores per annum. The highest domestic salary package offered is 60 lacs per annum. The lowest salary package offered ranges between 10-15 LPA. The average salary package data was not available. Top recruiting companies like Microsoft, Goldman Sachs, Adobe, Tower Research, etc., visited our college for placements. Top roles, like software engineer and data analyst, are offered to the students. Almost 80-90% of the students from our course got an internship.",Akshay,,,,,,,,,,
"No I haven't availed any intern yet. I'm a first year student. But according to last year data told to me in my orientation program, more than 96% students were placed in so many companies. Yes, they are some steps taken by department's HRs to prepare their students for the placement season. Companies like Google microsoft, intel. They recruit students on so many criterias such as their cgpa, based on their academic excellence during four years, on some types of exams taken by them, interviews.",Mitanshu Gupta,,,,,,,,,,
"Campus placement of the college is very good. I study mechanical engineering. In the core field, the average package is not much high about 9-10 LPA. In coding or software placement is the very high average package is about 20-25 LPA. This year 3 students got a 1.51 crore per annum package. The on-campus coding culture is very high. And also here is a good opportunity for internships. Companies like Google, Oracle, Microsoft, Amazon, Flipkart, Paytm, Facebook, jaguar, honda, Goldman Sachs, etc.",Mayank Shukla,,,,,,,,,,
"Placement and internships lie in the A category for all corporates and MNCs. I did my internship at Cadence (Noida) and got places at Intel (Bangalore) at a package of 18 LPA. In 30% of cases, pre-placement offers are also extended by Companies at the time of the internship. Our placement cell was very active in those times and helped a lot in getting to the best possible companies.",Vivek Singh,,,,,,,,,,
"Many reputed companies like L&T, Infosys, Goldman Sachs, Facebook, Google, Future First, etc. visited the campus. Resume verification was done as a part of recruitment by the Central Placement team. The only single placement was allowed till 80% of the students of the same branch gets placed. Almost 100% of students get placed every year. Yes, institutions takes special steps to ensure the placement and preparing the students by giving them proper guidance.",Ritesh Agrawal,,,,,,,,,,
98 percentage of placements and I had got placement in PRDC(Power Research and Development Corporation Pvt. Ltd.) but after I resigned and joined RINL.,Sundeep Kumar M,,,,,,,,,,
"Many famous companies like Google Microsoft,intel, etc. used to visit in our campus placement cell every year. Students give interviews and some exams conducted by companies for their placements in companies. The placement record of my department in last four years is more than 85 percent. Alumni interactions with students play a huge role in job referrals. They guide students to choose the best career options for their bright future.|No, I haven't done intership yet.",Student (Anonymous),,,,,,,,,,
Placement and internship in our college is as good as it gets in any engineering college. we begged around 500 intern offers and around 1500 placement offers. Placement is almost closed to 100 %. I myself begged an SDE intern in Amazon. There are plenty of international offers as well. with the highest international offer made of around 1.5 crores per annum and the highest domestic of 60 lakhs per annum. we have plenty of international and domestic research interns and placement also.,Aman Jaiswal,,,,,,,,,,
"This college has a national record in placement. The students of this college are meritorious and highly skilled, so they received a high amount of packages from the leading companies such as Google, Microsoft, IBM, Facebook, Tata corporation, L&T, TCS, Biocon, ISRO, Reliance, and many other high valued corporations. Most of the companies follow the same trend to select the students. 1st - they decide a CGPA cutoff score for the students that varies from company to company. 2nd- written exam related to the field. 3rd- 1st round interview (technical interview). 4th- 2nd round interview (hr interview). After all these steps, the qualified students receive the job offer letter. The tentative percentage of placement is more than 80. This Institute has a separate training and placement department that help the students to prepare for the placement. It provides special mock tests, personal interview sessions to each and every student. This department prepares the student mentally and physically for the placement drives.",Ankur Singh,,,,,,,,,,
